,Æ¯ÇãÁ¦¸ñ,Æ¯ÇãÄÚµå,Àû¿ë±¹°¡,Inventor,assignee,google patent link,Ãâ¿ø³¯Â¥,pdf link,ÀÎ¿ëÈ½¼ö
7725,Method for operating a driver assistance system for a vehicle on a road and driver assistance system,EP3373268A1,"EP, DE",,Volkswagen Aktiengesellschaft,https://patents.google.com/patent/EP3373268A1/en,2018-09-12,https://patentimages.storage.googleapis.com/1f/9c/d8/83f5838653164b/EP3373268A1.pdf,4
7726,"
  Method for determining the position of a vehicle
",DE102018218182B4,"WO, DE",,Volkswagen Aktiengesellschaft,https://patents.google.com/patent/DE102018218182B4/en,2021-07-29,https://patentimages.storage.googleapis.com/19/9d/d1/a166f31fc1b79f/DE102018218182B4.pdf,5
7727,"
  Method and device for adapting a driving strategy of an at least partially automated vehicle
",DE102019204201A1,"US, CN, DE",,Volkswagen Aktiengesellschaft,https://patents.google.com/patent/DE102019204201A1/en,2020-10-01,https://patentimages.storage.googleapis.com/54/61/31/cdbc440caa693d/DE102019204201A1.pdf,9
7728,"
  Device and method for the automated driving of a motor vehicle
",DE102015217485A1,"CN, DE",,Volkswagen Ag,https://patents.google.com/patent/DE102015217485A1/en,2017-03-16,https://patentimages.storage.googleapis.com/fa/1e/9f/81dda107d0425f/DE102015217485A1.pdf,6
7729,"
  Method for avoiding a field of vision disturbance for an operator of an object, device for carrying out the method, and vehicle and computer program
",DE102018218746A1,"WO, EP, US, CN, DE",,Volkswagen Aktiengesellschaft,https://patents.google.com/patent/DE102018218746A1/en,2020-05-07,https://patentimages.storage.googleapis.com/88/a5/24/5738385171bb64/DE102018218746A1.pdf,6
7730,"
  Belt integral seat as a kinematic restraint system
",DE102017207379A1,DE,,Volkswagen Aktiengesellschaft,https://patents.google.com/patent/DE102017207379A1/en,2018-11-08,https://patentimages.storage.googleapis.com/fd/52/bf/e25175a419dad9/DE102017207379A1.pdf,8
7731,Device and method for the automated driving of a motor vehicle,US10234866B2,"WO, US, CN, DE",,Volkswagen Ag,https://patents.google.com/patent/US10234866B2/en,2019-03-19,https://patentimages.storage.googleapis.com/55/e2/2e/5962f06b21bb57/US10234866.pdf,19
7732,"Method for scheduling transmission resources in a mobile communication system and base station, relay station and user equipment station for the use in the method",EP3253126B1,EP,,Volkswagen Aktiengesellschaft,https://patents.google.com/patent/EP3253126B1/en,2020-07-22,https://patentimages.storage.googleapis.com/49/01/ce/80473037c5b56a/EP3253126B1.pdf,19
7733,"
  Electric steering lock, especially for a ca",ES2560639T3,"WO, EP, US, CN, ES, RU",,Volkswagen Aktiengesellschaft,https://patents.google.com/patent/ES2560639T3/en,2016-02-22,https://patentimages.storage.googleapis.com/5a/d6/28/3086d0c43fbc62/ES2560639T3.pdf,19
7734,"
  Securing a motor vehicle for an autonomous engine run
",DE102014204533A1,DE,,Volkswagen Aktiengesellschaft,https://patents.google.com/patent/DE102014204533A1/en,2015-10-01,https://patentimages.storage.googleapis.com/2f/aa/26/2891a48e26b1c8/DE102014204533A1.pdf,7
7735,"
  Method and device for adapting the representation of image and / or operating elements on a graphical user interface
",DE102016224235A1,DE,,Volkswagen Aktiengesellschaft,https://patents.google.com/patent/DE102016224235A1/en,2018-06-07,https://patentimages.storage.googleapis.com/08/85/5c/5f317a684fc215/DE102016224235A1.pdf,11
7736,"
  Positioning method for inductive charging of electric vehicles
",DE102018207394A1,"WO, US, DE",,Volkswagen Aktiengesellschaft,https://patents.google.com/patent/DE102018207394A1/en,2019-11-14,https://patentimages.storage.googleapis.com/63/99/1c/45b0e948d17bd6/DE102018207394A1.pdf,4
7737,"
  Method for environment detection of a vehicle and vehicle
",DE102018216109A1,"WO, DE",,Volkswagen Aktiengesellschaft,https://patents.google.com/patent/DE102018216109A1/en,2020-03-26,https://patentimages.storage.googleapis.com/a1/08/54/1f9c8451601140/DE102018216109A1.pdf,4
7738,"
  Method and device for supporting the parking out of a vehicle
",DE102015210118B4,DE,,Volkswagen Aktiengesellschaft,https://patents.google.com/patent/DE102015210118B4/en,2019-03-21,https://patentimages.storage.googleapis.com/1a/b8/de/303d4fb393edad/DE102015210118B4.pdf,6
7739,"
  Motor vehicle, in particular an autonomously mobile motor vehicle
",DE102016220011A1,DE,,Volkswagen Aktiengesellschaft,https://patents.google.com/patent/DE102016220011A1/en,2018-04-19,https://patentimages.storage.googleapis.com/58/43/33/eeb3a19d9c31d4/DE102016220011A1.pdf,9
7740,"
  Method and device for determining a collision probability of a vehicle with an object
",DE102016218080B3,DE,,Volkswagen Aktiengesellschaft,https://patents.google.com/patent/DE102016218080B3/en,2017-08-24,https://patentimages.storage.googleapis.com/51/ca/c2/d11bfa2da8d3c7/DE102016218080B3.pdf,11
7741,"
  Method for determining a maximum possible driving speed for cornering a motor vehicle, control device and motor vehicle
",DE102016215287A1,DE,,Volkswagen Aktiengesellschaft,https://patents.google.com/patent/DE102016215287A1/en,2018-02-22,https://patentimages.storage.googleapis.com/59/a8/65/e080c94ce8dcbe/DE102016215287A1.pdf,8
7742,"
  Method for performing an at least semi-autonomous parking process for a vehicle and parking assistance system
",DE102009040373B4,DE,,Volkswagen Ag,https://patents.google.com/patent/DE102009040373B4/en,2020-03-12,https://patentimages.storage.googleapis.com/88/02/a5/3beb0fa8dcbc2d/DE102009040373B4.pdf,6
7743,"Method for operating mobile radio station, mobile radio station, and computer program",JP2019030010A,"EP, US, CN, JP, DE, RU",,«Õ«©«ë«¯«¹«ô«¡?«²«ó «¢«¯«Á«¨«ó«²«¼«ë«·«ã«Õ«È£Ö£ï£ì£ë£ó£÷£á£ç£å£î £Á£ë£ô£é£å£î£ç£å£ó£å£ì£ì£ó£ã£è£á£æ£ô,https://patents.google.com/patent/JP2019030010A/en,2019-02-21,https://patentimages.storage.googleapis.com/01/7e/c4/50abb0517e1dbc/JP2019030010A.pdf,6
7744,Evaluation of automatic driving function and road recognition in different processing stages,CN111194459A,"WO, US, CN, DE",,ÓÞ?Ñ©?êóùÚÍëÞÉ,https://patents.google.com/patent/CN111194459A/en,2020-05-22,https://patentimages.storage.googleapis.com/5d/71/dc/d9a8514ecb93d7/CN111194459A.pdf,6
7745,"Method, device and computer-readable storage medium with instructions for determining the lateral position of a vehicle relative to the lanes of a road",US10963708B2,"WO, US, CN, DE, GB",,Volkswagen Aktiengesellschaft,https://patents.google.com/patent/US10963708B2/en,2021-03-30,https://patentimages.storage.googleapis.com/13/12/88/7ce020d75df065/US10963708.pdf,26
7746,"Method for Determining a Synchronization Accuracy, Computer Program, Communication Unit and Motor Vehic",US20210218656A1,"WO, EP, US, CN, DE",,Volkswagen Aktiengesellschaft,https://patents.google.com/patent/US20210218656A1/en,2021-07-15,https://patentimages.storage.googleapis.com/e0/40/c9/07fc48d224730e/US20210218656A1.pdf,26
7747,"
  Procedure for a vehicle
",DE102016206311B4,DE,,Volkswagen Aktiengesellschaft,https://patents.google.com/patent/DE102016206311B4/en,2019-12-05,https://patentimages.storage.googleapis.com/3c/98/eb/6e9773dd4b128d/DE102016206311B4.pdf,8
7748,"
  Method for operating a motor vehicle and motor vehicle brake system
",DE102016202575A1,DE,,Volkswagen Aktiengesellschaft,https://patents.google.com/patent/DE102016202575A1/en,2017-08-24,https://patentimages.storage.googleapis.com/ea/d8/c3/405de806b54ee1/DE102016202575A1.pdf,7
7749,"
  Method for recognizing dangerous driving behavior by a road user and warning system
",DE102019206511A1,DE,,Volkswagen Aktiengesellschaft,https://patents.google.com/patent/DE102019206511A1/en,2020-11-12,https://patentimages.storage.googleapis.com/df/68/3f/e6904a1c637ee6/DE102019206511A1.pdf,11
7750,Method And Device For Detecting An Object By Means Of A Broadband Laser Pul,US20190369250A1,"EP, US, CN, KR, DE, IL",,Volkswagen Aktiengesellschaft,https://patents.google.com/patent/US20190369250A1/en,2019-12-05,https://patentimages.storage.googleapis.com/71/48/ae/e6ab0822950825/US20190369250A1.pdf,11
7751,"
  Method and device for detecting fatigue of a person
",DE102018206237A1,DE,,Volkswagen Aktiengesellschaft,https://patents.google.com/patent/DE102018206237A1/en,2019-10-24,https://patentimages.storage.googleapis.com/a5/86/72/f2406b8f505f85/DE102018206237A1.pdf,7
7752,"
  Method for the classification of planar structures
",DE102017123969B4,"WO, EP, US, CN, DE",,Volkswagen Aktiengesellschaft,https://patents.google.com/patent/DE102017123969B4/en,2019-11-28,https://patentimages.storage.googleapis.com/07/9d/22/ca772ea2351ca1/DE102017123969B4.pdf,11
7753,"
  Method and apparatus for lane detection
",DE102008050456B4,DE,,Volkswagen Aktiengesellschaft,https://patents.google.com/patent/DE102008050456B4/en,2018-03-15,https://patentimages.storage.googleapis.com/8b/eb/b3/cfee032bf36627/DE102008050456B4.pdf,4
7754,"
  Method for determining a position of a motor vehicle and driver assistance system for a motor vehicle
",DE102016220521A1,DE,,Volkswagen Aktiengesellschaft,https://patents.google.com/patent/DE102016220521A1/en,2018-04-19,https://patentimages.storage.googleapis.com/7d/81/b7/73d5a5d4c16b75/DE102016220521A1.pdf,5
7755,"
  METHOD, DEVICE AND COMPUTER READABLE STORAGE MEDIUM WITH INSTRUCTIONS FOR DETERMINING A POSITION OF A VEHICLE WITHIN A PARK SURFACE
",DE102016217718A1,DE,,Volkswagen Aktiengesellschaft,https://patents.google.com/patent/DE102016217718A1/en,2018-03-22,https://patentimages.storage.googleapis.com/1e/2c/7d/7753bf3b15f96e/DE102016217718A1.pdf,5
7756,"
  Method, device and construction site vehicle for autonomous danger monitoring in a construction site area and / or a traffic area adjacent to the construction site area
",DE102018201248A1,DE,,Volkswagen Aktiengesellschaft,https://patents.google.com/patent/DE102018201248A1/en,2019-08-01,https://patentimages.storage.googleapis.com/0f/45/5a/463842ea88c8fc/DE102018201248A1.pdf,8
7757,"
  Method for controlling a vehicle and driver assistance system
",DE102012017628A1,"WO, DE",,Volkswagen Aktiengesellschaft,https://patents.google.com/patent/DE102012017628A1/en,2014-03-06,https://patentimages.storage.googleapis.com/99/c1/c7/4cd303e52954d6/DE102012017628A1.pdf,10
7758,Method and system for providing an automation function for a transportation vehicle,US11118933B2,"EP, US, CN, DE",,Volkswagen Aktiengesellschaft,https://patents.google.com/patent/US11118933B2/en,2021-09-14,https://patentimages.storage.googleapis.com/51/ad/44/49e3bcfde818fd/US11118933.pdf,28
7759,"Method for operating a decentralized computing network, in particular an edge-cloud computer of the decentralized computer network",EP3671453A1,EP,,Volkswagen AG,https://patents.google.com/patent/EP3671453A1/en,2020-06-24,https://patentimages.storage.googleapis.com/7d/dd/41/0f9da8c80dddee/EP3671453A1.pdf,4
7760,"
  Steering angle sensor and electromotive steering
",DE102015212117B4,DE,,Volkswagen Aktiengesellschaft,https://patents.google.com/patent/DE102015212117B4/en,2017-04-13,https://patentimages.storage.googleapis.com/36/2f/fd/abaf8c191fad70/DE102015212117B4.pdf,7
7761,"
  A method of assisting a driver of a vehicle on a route
",DE102015204967A1,DE,,Volkswagen Aktiengesellschaft,https://patents.google.com/patent/DE102015204967A1/en,2016-09-22,https://patentimages.storage.googleapis.com/83/af/5e/a15af7967baf5b/DE102015204967A1.pdf,9
7762,"
  Method and device for generating control signals for supporting occupants of a vehicle
",DE102018133670B4,DE,,Volkswagen Aktiengesellschaft,https://patents.google.com/patent/DE102018133670B4/en,2020-08-27,https://patentimages.storage.googleapis.com/b9/b6/67/dd2f20784f6991/DE102018133670B4.pdf,11
7763,"Method for classifying objects by means of an automatically driving motor vehicle, and automatically driving motor vehicle",WO2020094323A1,"WO, DE",,Volkswagen Aktiengesellschaft,https://patents.google.com/patent/WO2020094323A1/en,2020-05-14,https://patentimages.storage.googleapis.com/07/72/a2/8c78d4e8974478/WO2020094323A1.pdf,4
7764,"
  Vehicle composite and method for operating a vehicle of said vehicle network
",DE102016203019A1,DE,,Volkswagen Aktiengesellschaft,https://patents.google.com/patent/DE102016203019A1/en,2017-08-31,https://patentimages.storage.googleapis.com/ea/aa/69/49ac9d178b7528/DE102016203019A1.pdf,6
7765,"
  Camera for an assistance system of a vehicle, assistance system and vehicle
",DE102016218079B3,DE,,Volkswagen Aktiengesellschaft,https://patents.google.com/patent/DE102016218079B3/en,2017-12-21,https://patentimages.storage.googleapis.com/ca/f7/7d/a9436b28fbc73a/DE102016218079B3.pdf,7
7766,"Methods, Apparatuses and Computer Programs for a First Road Resource User and for a Road Resource Allocation Enti",US20210035074A1,"WO, EP, US, CN, BR",,Volkswagen Aktiengesellschaft,https://patents.google.com/patent/US20210035074A1/en,2021-02-04,https://patentimages.storage.googleapis.com/58/d2/c5/31d2a1a3d61708/US20210035074A1.pdf,7
7767,"
  Assistance system for a motor vehicle and motor vehicle
",DE102018215525A1,DE,,Volkswagen Aktiengesellschaft,https://patents.google.com/patent/DE102018215525A1/en,2020-03-12,https://patentimages.storage.googleapis.com/d1/6f/7b/8c44ab04fb8e57/DE102018215525A1.pdf,4
7768,"
  Method and system for supporting a coupling operation of a motor vehicle to a trailer
",DE102018202613A1,"EP, US, CN, DE",,Volkswagen Aktiengesellschaft,https://patents.google.com/patent/DE102018202613A1/en,2019-08-22,https://patentimages.storage.googleapis.com/c0/d8/44/1f1dd6db4fbb46/DE102018202613A1.pdf,10
7769,"System, vehicle, apparatuses, methods, and computer programs for user equipment and for service provision in a mobile communication system",EP3723412A1,"WO, EP",,Volkswagen Aktiengesellschaft,https://patents.google.com/patent/EP3723412A1/en,2020-10-14,https://patentimages.storage.googleapis.com/90/cc/61/5399a55b74cf6a/EP3723412A1.pdf,7
7770,"
  Motor vehicle brake system and method of operating such
",DE102017201052A1,DE,,Volkswagen Aktiengesellschaft,https://patents.google.com/patent/DE102017201052A1/en,2018-07-26,https://patentimages.storage.googleapis.com/76/fb/e7/ba0982ef241127/DE102017201052A1.pdf,7
7771,Vehicle navigation meth,EP3707471A1,"WO, EP, US, CN, DE",,Volkswagen Aktiengesellschaft,https://patents.google.com/patent/EP3707471A1/en,2020-09-16,/patent/EP3707471A1/de,7
7772,"
  A method of assisting a driver of a vehicle in maintaining a desired line on a roadway
",DE102015201893A1,DE,,Volkswagen Aktiengesellschaft,https://patents.google.com/patent/DE102015201893A1/en,2016-08-04,https://patentimages.storage.googleapis.com/0f/5a/76/9a5844ef10b823/DE102015201893A1.pdf,8
7773,Method and device for finding a parking space,EP2105700B1,EP,,Volkswagen Aktiengesellschaft,https://patents.google.com/patent/EP2105700B1/en,2016-05-18,https://patentimages.storage.googleapis.com/43/1c/24/6e5d5093c7f101/EP2105700B1.pdf,5
7774,"
  intersection assistant
",DE102013221499A1,DE,,Volkswagen Aktiengesellschaft,https://patents.google.com/patent/DE102013221499A1/en,2015-05-07,https://patentimages.storage.googleapis.com/e5/81/6d/a5663912d9c2d0/DE102013221499A1.pdf,10
7775,Method and control system for self- braking of a motor vehicle,EP3196083B1,"EP, US, CN, DE, ES",,Volkswagen Aktiengesellschaft,https://patents.google.com/patent/EP3196083B1/en,2021-05-05,https://patentimages.storage.googleapis.com/36/3e/8c/20ce8cb5a62f34/EP3196083B1.pdf,10
7776,"
  Method and system for determining an environmental model for a vehicle
",DE102018217840A1,"WO, EP, US, CN, DE",,Volkswagen Aktiengesellschaft,https://patents.google.com/patent/DE102018217840A1/en,2020-04-23,https://patentimages.storage.googleapis.com/68/72/26/f5241942534292/DE102018217840A1.pdf,11
7777,"
  Method for operating a vehicle seat, vehicle seat
",DE102017207761B4,DE,,Volkswagen Aktiengesellschaft,https://patents.google.com/patent/DE102017207761B4/en,2020-02-27,https://patentimages.storage.googleapis.com/4a/6f/07/01a7054c177a10/DE102017207761B4.pdf,10
7778,"
  A method of transmitting data over a radio channel, and a transmitting station and receiving station for use in the method
",DE102016211894A1,DE,,Volkswagen Aktiengesellschaft,https://patents.google.com/patent/DE102016211894A1/en,2017-09-21,https://patentimages.storage.googleapis.com/ff/48/a9/168873e4ae7138/DE102016211894A1.pdf,10
7779,"
  Method and device for operating a steering system with electromechanical steering assistance
",DE102016215724A1,DE,,Volkswagen Aktiengesellschaft,https://patents.google.com/patent/DE102016215724A1/en,2018-02-22,https://patentimages.storage.googleapis.com/4a/c5/30/e56b2002d32ac1/DE102016215724A1.pdf,17
7780,"
  System and method for estimating the self-motion of a vehicle
",DE102016223107A1,DE,,Volkswagen Aktiengesellschaft,https://patents.google.com/patent/DE102016223107A1/en,2018-05-24,https://patentimages.storage.googleapis.com/4d/ea/09/f1ac04aaac702d/DE102016223107A1.pdf,13
7781,"
  Remote-controlled, assisted maneuvering of a trailer
",DE102016224528B4,DE,,Volkswagen Aktiengesellschaft,https://patents.google.com/patent/DE102016224528B4/en,2021-05-27,https://patentimages.storage.googleapis.com/e8/88/78/e0f062dad2db20/DE102016224528B4.pdf,15
7782,"
  Determining a self-motion of a vehicle based on stationary objects
",DE102016223072A1,DE,,Volkswagen Aktiengesellschaft,https://patents.google.com/patent/DE102016223072A1/en,2018-05-24,https://patentimages.storage.googleapis.com/cb/a1/64/6c2c4c19a506bc/DE102016223072A1.pdf,14
7783,Controller of a camera system of a motor vehicle,WO2010075944A1,"WO, DE",,Volkswagen Aktiengesellschaft,https://patents.google.com/patent/WO2010075944A1/en,2010-07-08,https://patentimages.storage.googleapis.com/1e/ae/77/5c30ef7824164f/WO2010075944A1.pdf,18
7784,"
  Device and method for controlling a vehicle
",DE102006026653B4,DE,,Volkswagen Ag,https://patents.google.com/patent/DE102006026653B4/en,2021-09-16,https://patentimages.storage.googleapis.com/bd/9f/b7/1921ad1f89fdf8/DE102006026653B4.pdf,17
7785,"Method for commissioning an internal combustion engine, and motor vehicle comprising an internal combustion engine",US11060473B2,"WO, EP, US, CN, DE",,Volkswagen Aktiengesellschaft,https://patents.google.com/patent/US11060473B2/en,2021-07-13,https://patentimages.storage.googleapis.com/6c/b1/c3/a8f583e29fd230/US11060473.pdf,21
7786,"
  Instrument panel for a vehicle with a passenger airbag and method for triggering the passenger airbag
",DE102017007380A1,DE,,Volkswagen Aktiengesellschaft,https://patents.google.com/patent/DE102017007380A1/en,2019-02-07,https://patentimages.storage.googleapis.com/1a/b3/5b/908c6acd95d199/DE102017007380A1.pdf,8
7787,"Image sensors for e.g. parking assistance system for providing information about three-dimensional environment of motor car, have matrices including type pixel whose sensitivity is complementary to sensitivity of another type pixel",DE102012021736A1,DE,,Volkswagen Aktiengesellschaft,https://patents.google.com/patent/DE102012021736A1/en,2013-09-26,https://patentimages.storage.googleapis.com/7d/75/1c/8184b2d002f3f8/DE102012021736A1.pdf,7
7788,"Method for locating mobile unit relative to car, involves determining position of mobile part, where determination is made based on points in time and determined intrinsic movement of mobile part between different points of time",DE102012018427A1,DE,,Volkswagen Aktiengesellschaft,https://patents.google.com/patent/DE102012018427A1/en,2014-05-15,https://patentimages.storage.googleapis.com/35/71/96/733a4e07c2d9e8/DE102012018427A1.pdf,12
7789,"Method for parking a motor vehicle kerbside, apparatus, and motor vehicle",WO2019063286A1,"WO, EP, US, DE",,Volkswagen Aktiengesellschaft,https://patents.google.com/patent/WO2019063286A1/en,2019-04-04,https://patentimages.storage.googleapis.com/f0/1b/a0/a23450c0aa5007/WO2019063286A1.pdf,13
7790,Traffic signal emulation using genetic algorithm,US10255805B1,US,,Volkswagen Ag,https://patents.google.com/patent/US10255805B1/en,2019-04-09,https://patentimages.storage.googleapis.com/0e/c3/b5/ca7cd580ed9382/US10255805.pdf,13
7791,"Method, device and computer-readable storage medium with instructions for marking an exit side of a motor vehicle",EP3459792A1,"EP, US, CN, DE",,Volkswagen Aktiengesellschaft,https://patents.google.com/patent/EP3459792A1/en,2019-03-27,https://patentimages.storage.googleapis.com/eb/63/63/25b725c272c9d4/EP3459792A1.pdf,9
7792,Method for transmitting data between control devices in a vehicle,EP2222509B1,"WO, EP, DE",,Volkswagen Aktiengesellschaft,https://patents.google.com/patent/EP2222509B1/en,2017-03-22,https://patentimages.storage.googleapis.com/41/82/d3/8034d6e18de2e6/EP2222509B1.pdf,9
7793,Apparatus and method for detecting a critical driving situation of a vehicle,CN104176055A,"CN, DE",,ÓÞ?Ñ©?êóùÚÍëÞÉ,https://patents.google.com/patent/CN104176055A/en,2014-12-03,https://patentimages.storage.googleapis.com/75/c7/77/7fb012a94ab4bc/CN104176055A.pdf,8
7794,"
  locking system for manual actuation of the rear-movement rear windows of a self-propelled vehicle, crank with locking system and automotive vehicle with crank with locking syste",BRPI0803561A2,"BR, DE",,Volkswagen Ag,https://patents.google.com/patent/BRPI0803561A2/en,2010-06-15,https://patentimages.storage.googleapis.com/11/ec/3d/7c10d8bebd523a/BRPI0803561A2.pdf,8
7795,Motor vehicle with collision warning,WO2015086267A1,"WO, EP, DE",,Volkswagen Aktiengesellschaft,https://patents.google.com/patent/WO2015086267A1/en,2015-06-18,https://patentimages.storage.googleapis.com/ec/86/de/5df8ec2e683a2e/WO2015086267A1.pdf,10
7796,"
  Method and device for operating a driver assistance system
",DE102013214401A1,DE,,Volkswagen Aktiengesellschaft,https://patents.google.com/patent/DE102013214401A1/en,2015-02-19,https://patentimages.storage.googleapis.com/07/90/a0/c338d122ab63f8/DE102013214401A1.pdf,9
7797,Apparatus for measuring a torque in a force-feedback actuator for a steer-by-wire steering syst,US20200070880A1,"EP, US, CN, DE",,Volkswagen Aktiengesellschaft,https://patents.google.com/patent/US20200070880A1/en,2020-03-05,https://patentimages.storage.googleapis.com/7a/79/df/1f71e8e6666107/US20200070880A1.pdf,9
7798,"
  Method for controlling an automated air conditioning device of a motor vehicle
",DE102014206451A1,DE,,Volkswagen Aktiengesellschaft,https://patents.google.com/patent/DE102014206451A1/en,2015-10-08,https://patentimages.storage.googleapis.com/65/e1/2a/a5c64f2c4229bb/DE102014206451A1.pdf,15
7799,"
  Method for graphically displaying content in a vehicle and vehicle
",DE102018219953B3,"WO, EP, DE",,Volkswagen Aktiengesellschaft,https://patents.google.com/patent/DE102018219953B3/en,2020-01-02,https://patentimages.storage.googleapis.com/90/16/c5/1749c7b4e59281/DE102018219953B3.pdf,7
7800,"
  Method and device for self-localization of a vehicle
",DE102017221691A1,"EP, US, DE",,Volkswagen Aktiengesellschaft,https://patents.google.com/patent/DE102017221691A1/en,2019-06-06,https://patentimages.storage.googleapis.com/93/22/50/708a1c47b7f825/DE102017221691A1.pdf,8
7801,"Apparatus, method, and computer program for mobile device",JP2018148559A,"EP, US, CN, JP, DE",,«Õ«©«ë«¯«¹«ô«¡?«²«ó «¢«¯«Á«¨«ó«²«¼«ë«·«ã«Õ«È£Ö£ï£ì£ë£ó£÷£á£ç£å£î £Á£ë£ô£é£å£î£ç£å£ó£å£ì£ì£ó£ã£è£á£æ£ô,https://patents.google.com/patent/JP2018148559A/en,2018-09-20,https://patentimages.storage.googleapis.com/27/f4/ed/45d04d576b5d00/JP2018148559A.pdf,5
7802,"Method for controlling an automatic, particularly automated transmission of a motor vehicle, preferably a double clutch transmission",EP2045162B1,"EP, DE",,Volkswagen Aktiengesellschaft,https://patents.google.com/patent/EP2045162B1/en,2017-09-06,https://patentimages.storage.googleapis.com/f5/51/70/5e3891dea71d45/EP2045162B1.pdf,6
7803,Autonomous vehicle and guiding method for an autonomous vehicle,EP0913751A1,"EP, US, JP, DE",,Volkswagen Aktiengesellschaft,https://patents.google.com/patent/EP0913751A1/en,1999-05-06,https://patentimages.storage.googleapis.com/0b/55/72/aea3ec5323eba9/EP0913751A1.pdf,10
7804,"
  SELF-CLEAN VEHICL",BR102015014574A2,BR,,Volkswagen Do Brasil Industria De Veiculos Automotores Ltda.,https://patents.google.com/patent/BR102015014574A2/en,2017-10-10,https://patentimages.storage.googleapis.com/ce/66/b5/fa0befb9678eea/BR102015014574A2.pdf,10
7805,"
  Method for operating an autonomous driving system and a central unit, autonomous driving system in a motor vehicle and central unit
",DE102017204952A1,DE,,Volkswagen Aktiengesellschaft,https://patents.google.com/patent/DE102017204952A1/en,2018-09-27,https://patentimages.storage.googleapis.com/82/4a/4f/f7b547780eaedf/DE102017204952A1.pdf,6
7806,"Method, device, medium, and vehicle for providing a personalized driving experience",CN112389451A,"WO, CN",,ÓÞ?Ñ©?£¨ñé?£©÷á?êóùÚÍëÞÉ,https://patents.google.com/patent/CN112389451A/en,2021-02-23,https://patentimages.storage.googleapis.com/83/d8/7d/802e9eac011b74/CN112389451A.pdf,13
7807,The industry control cabinet of autonomous driving vehicle,CN209454687U,CN,,ß¾Ñ©ÓÞ?Ñ©?êóùÚÍëÞÉ,https://patents.google.com/patent/CN209454687U/en,2019-10-01,https://patentimages.storage.googleapis.com/ac/9b/77/f3564f3c6517b9/CN209454687U.pdf,13
7808,"
  Method for controlling a vehicle in a transition phase between vehicle control in autonomous driving and driver control in manual driving and a vehicle with an operating unit
",DE102019218551A1,DE,,Volkswagen Aktiengesellschaft,https://patents.google.com/patent/DE102019218551A1/en,2021-06-02,https://patentimages.storage.googleapis.com/85/c1/9c/0c57f58eb71c7a/DE102019218551A1.pdf,5
7809,"
  Control device for aborting or temporarily interrupting autonomous driving
",DE102019216953A1,DE,,Volkswagen Aktiengesellschaft,https://patents.google.com/patent/DE102019216953A1/en,2021-05-06,https://patentimages.storage.googleapis.com/72/30/f0/5b432b95ea418a/DE102019216953A1.pdf,5
7810,"
  Communication device for non-autonomous motor vehicles
",DE102019209042A1,"WO, DE",,Volkswagen Aktiengesellschaft,https://patents.google.com/patent/DE102019209042A1/en,2020-12-24,https://patentimages.storage.googleapis.com/d8/6e/aa/7eac7cdb429e35/DE102019209042A1.pdf,10
7811,System for controlling a self-driving vehic,US20210237750A1,"US, CN, DE",,Volkswagen Aktiengesellschaft,https://patents.google.com/patent/US20210237750A1/en,2021-08-05,https://patentimages.storage.googleapis.com/48/cb/9b/5945a119522421/US20210237750A1.pdf,10
7812,"
  Process for operating an autonomous vehicle fleet and service station
",DE102018222638A1,DE,,Volkswagen Aktiengesellschaft,https://patents.google.com/patent/DE102018222638A1/en,2020-06-25,https://patentimages.storage.googleapis.com/23/f6/01/a1ba23c624fc9b/DE102018222638A1.pdf,4
7813,"
  Method for operating a self-driving vehicle and control system for carrying out such a method
",DE102019219464B3,"US, DE",,Volkswagen Aktiengesellschaft,https://patents.google.com/patent/DE102019219464B3/en,2021-05-12,https://patentimages.storage.googleapis.com/ae/70/48/40f6c487edc9ad/DE102019219464B3.pdf,5
7814,"
  Method for transmitting an emergency call in an autonomous vehicle
",DE102019220338A1,DE,,Volkswagen Aktiengesellschaft,https://patents.google.com/patent/DE102019220338A1/en,2021-06-24,https://patentimages.storage.googleapis.com/b0/2c/ad/44a93f1ef5a02c/DE102019220338A1.pdf,6
7815,"
  Autonomous motor vehicle
",DE102018222667A1,DE,,Volkswagen Aktiengesellschaft,https://patents.google.com/patent/DE102018222667A1/en,2020-06-25,https://patentimages.storage.googleapis.com/62/29/e1/97460f4c3b33ab/DE102018222667A1.pdf,6
7816,Autonomous vehicle and method of operating an autonomous vehic,CN113306568A,"EP, US, CN, KR",,ÓÞ?Ñ©?ÍÆ?ÍëÞÉ,https://patents.google.com/patent/CN113306568A/en,2021-08-27,https://patentimages.storage.googleapis.com/b9/0f/14/564679529ab552/CN113306568A.pdf,6
7817,"
  Autonomous taxi
",DE102018222666A1,DE,,Volkswagen Aktiengesellschaft,https://patents.google.com/patent/DE102018222666A1/en,2020-06-25,https://patentimages.storage.googleapis.com/67/3a/bb/987b045b7aa2b0/DE102018222666A1.pdf,7
7818,"
  Service station method for autonomous cleaning of a vehicle and service station
",DE102018222650A1,DE,,Volkswagen Aktiengesellschaft,https://patents.google.com/patent/DE102018222650A1/en,2020-06-25,https://patentimages.storage.googleapis.com/e1/51/97/fa4aca74a0c36a/DE102018222650A1.pdf,4
